# Program:featureCounts v2.0.3; Command:"featureCounts" "-a" "/home/irenest/irene/Candida_susanne/gff/GCF_000182965.3_ASM18296v3_genomic.gff" "-o" "/home/irenest/irene/RNAseq_c_albicans/candida_RNAseq_CDS_counts.txt" "-t" "CDS" "-g" "ID" "-p" "-T" "8" "align/Y10_S10_PEAligned.out.bam" "align/Y10_S10_PEAligned.out.sorted.bam" "align/Y11_S11_PEAligned.out.bam" "align/Y11_S11_PEAligned.out.sorted.bam" "align/Y12_S12_PEAligned.out.bam" "align/Y12_S12_PEAligned.out.sorted.bam" "align/Y1_S1_PEAligned.out.bam" "align/Y1_S1_PEAligned.out.sorted.bam" "align/Y2_S2_PEAligned.out.bam" "align/Y2_S2_PEAligned.out.sorted.bam" "align/Y3_S3_PEAligned.out.bam" "align/Y3_S3_PEAligned.out.sorted.bam" "align/Y4_S4_PEAligned.out.bam" "align/Y4_S4_PEAligned.out.sorted.bam" "align/Y5_S5_PEAligned.out.bam" "align/Y5_S5_PEAligned.out.sorted.bam" "align/Y6_S6_PEAligned.out.bam" "align/Y6_S6_PEAligned.out.sorted.bam" "align/Y7_S7_PEAligned.out.bam" "align/Y7_S7_PEAligned.out.sorted.bam" "align/Y8_S8_PEAligned.out.bam" "align/Y8_S8_PEAligned.out.sorted.bam" "align/Y9_S9_PEAligned.out.bam" "align/Y9_S9_PEAligned.out.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	align/Y10_S10_PEAligned.out.bam	align/Y10_S10_PEAligned.out.sorted.bam	align/Y11_S11_PEAligned.out.bam	align/Y11_S11_PEAligned.out.sorted.bam	align/Y12_S12_PEAligned.out.bam	align/Y12_S12_PEAligned.out.sorted.bam	align/Y1_S1_PEAligned.out.bam	align/Y1_S1_PEAligned.out.sorted.bam	align/Y2_S2_PEAligned.out.bam	align/Y2_S2_PEAligned.out.sorted.bam	align/Y3_S3_PEAligned.out.bam	align/Y3_S3_PEAligned.out.sorted.bam	align/Y4_S4_PEAligned.out.bam	align/Y4_S4_PEAligned.out.sorted.bam	align/Y5_S5_PEAligned.out.bam	align/Y5_S5_PEAligned.out.sorted.bam	align/Y6_S6_PEAligned.out.bam	align/Y6_S6_PEAligned.out.sorted.bam	align/Y7_S7_PEAligned.out.bam	align/Y7_S7_PEAligned.out.sorted.bam	align/Y8_S8_PEAligned.out.bam	align/Y8_S8_PEAligned.out.sorted.bam	align/Y9_S9_PEAligned.out.bam	align/Y9_S9_PEAligned.out.sorted.bam
cds-XP_719050.1	NC_032089.1	28286	29488	-	1203	43545	43545	45625	45625	51601	51601	68719	68719	60418	60418	47312	47312	45719	45719	55225	55225	40668	40668	46820	46820	30985	30985	47266	47266
cds-XP_719048.1	NC_032089.1	29804	31543	+	1740	1034	1034	1122	1122	926	926	2266	2266	2882	2882	3059	3059	2880	2880	3645	3645	2991	2991	1084	1084	760	760	958	958
cds-XP_719047.1	NC_032089.1	31842	32444	+	603	135599	135599	153231	153231	149282	149282	208994	208994	163126	163126	137702	137702	124145	124145	161605	161605	141325	141325	148175	148175	112552	112552	139864	139864
cds-XP_719046.1	NC_032089.1	32680	33318	-	639	81	81	110	110	78	78	61	61	45	45	25	25	64	64	62	62	27	27	73	73	78	78	72	72
cds-XP_719045.1	NC_032089.1	34099	34446	-	348	124	124	148	148	134	134	266	266	182	182	204	204	196	196	198	198	180	180	94	94	147	147	166	166
cds-XP_719044.2	NC_032089.1	34525	35679	-	1155	7247	7247	8031	8031	7861	7861	11401	11401	9548	9548	8745	8745	6991	6991	9444	9444	8981	8981	7404	7404	5781	5781	7358	7358
cds-XP_719043.1	NC_032089.1	37851	39485	+	1635	34144	34144	37969	37969	30940	30940	24511	24511	28313	28313	19971	19971	21272	21272	30186	30186	16830	16830	35799	35799	22632	22632	31741	31741
cds-XP_719042.1	NC_032089.1	40484	41770	-	1287	1332	1332	1392	1392	1547	1547	1893	1893	1767	1767	1583	1583	1262	1262	1527	1527	1365	1365	1405	1405	1208	1208	1262	1262
cds-XP_719041.2	NC_032089.1	42605	43504	+	900	517	517	624	624	408	408	939	939	889	889	2233	2233	612	612	844	844	2213	2213	671	671	287	287	347	347
cds-XP_019330599.1	NC_032089.1	43549	43679	-	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cds-XP_719040.2	NC_032089.1	43803	45764	+	1962	316	316	391	391	300	300	1294	1294	1423	1423	3183	3183	983	983	1254	1254	3170	3170	455	455	226	226	373	373
cds-XP_719039.1	NC_032089.1	46803	48359	+	1557	2309	2309	2668	2668	2365	2365	2714	2714	2700	2700	2385	2385	2064	2064	2773	2773	2375	2375	2274	2274	1594	1594	2421	2421
cds-XP_719038.1	NC_032089.1	48513	49298	+	786	1698	1698	1868	1868	2089	2089	2281	2281	1883	1883	1653	1653	1183	1183	1586	1586	1674	1674	1886	1886	1333	1333	1775	1775
cds-XP_719037.2	NC_032089.1	49295	49843	-	549	2210	2210	2357	2357	2673	2673	3358	3358	2598	2598	2357	2357	1804	1804	2465	2465	2328	2328	2406	2406	1565	1565	2294	2294
cds-XP_719036.1	NC_032089.1	49997	50743	+	747	3326	3326	3731	3731	4530	4530	6880	6880	5007	5007	4328	4328	3563	3563	3998	3998	3926	3926	3647	3647	3280	3280	3610	3610
cds-XP_719035.1	NC_032089.1	50806	51681	-	876	2776	2776	2959	2959	3364	3364	5048	5048	3952	3952	2458	2458	3130	3130	3768	3768	2248	2248	2957	2957	2350	2350	3011	3011
cds-XP_719034.1	NC_032089.1	53099	54442	+	1344	769	769	895	895	766	766	1107	1107	1104	1104	861	861	814	814	1066	1066	789	789	1008	1008	786	786	792	792
cds-XP_019330600.1	NC_032089.1	54558	54842	+	285	307	307	359	359	270	270	321	321	271	271	322	322	239	239	328	328	291	291	368	368	256	256	279	279
cds-XP_719033.1	NC_032089.1	54837	57074	-	2238	2685	2685	3135	3135	2906	2906	4487	4487	3154	3154	2757	2757	2538	2538	2983	2983	2646	2646	3213	3213	2950	2950	2978	2978
cds-XP_719032.1	NC_032089.1	59349	62552	+	3204	4855	4855	5535	5535	4916	4916	7973	7973	7148	7148	6527	6527	5567	5567	7548	7548	6571	6571	4944	4944	3561	3561	4761	4761
cds-XP_719030.1	NC_032089.1	63202	64350	+	1149	10752	10752	11076	11076	12863	12863	16468	16468	12052	12052	9411	9411	7906	7906	10060	10060	7698	7698	14073	14073	10404	10404	13524	13524
cds-XP_719028.2	NC_032089.1	64696	66324	-	1629	3120	3120	3381	3381	2830	2830	3276	3276	2747	2747	2626	2626	2774	2774	3100	3100	2377	2377	3194	3194	2527	2527	2992	2992
cds-XP_719027.1	NC_032089.1	67843	68814	+	972	1850	1850	2055	2055	2008	2008	2480	2480	2173	2173	1992	1992	1480	1480	2081	2081	2335	2335	2015	2015	1682	1682	1823	1823
cds-XP_719026.2	NC_032089.1	69226	70902	+	1677	1682	1682	1821	1821	1763	1763	1845	1845	1629	1629	1863	1863	1315	1315	1684	1684	1730	1730	1857	1857	1283	1283	1469	1469
cds-XP_019330601.1	NC_032089.1;NC_032089.1	71068;71158	71080;72581	+;+	1437	7210	7210	8035	8035	8521	8521	12274	12274	8914	8914	8831	8831	6585	6585	7873	7873	8561	8561	7931	7931	6461	6461	7734	7734
cds-XP_019330602.1	NC_032089.1;NC_032089.1	72741;73182	73091;73283	-;-	453	4291	4291	4732	4732	5022	5022	7198	7198	5567	5567	5054	5054	4446	4446	5353	5353	4780	4780	4991	4991	3492	3492	4577	4577
cds-XP_719024.1	NC_032089.1	73580	73900	+	321	3534	3534	3846	3846	3308	3308	4479	4479	3784	3784	4442	4442	3326	3326	4047	4047	3980	3980	3936	3936	2853	2853	3381	3381
cds-XP_719023.1	NC_032089.1	74056	75381	-	1326	2292	2292	2350	2350	2294	2294	1888	1888	1774	1774	1647	1647	1602	1602	1936	1936	1472	1472	2377	2377	1914	1914	2337	2337
cds-XP_719022.1	NC_032089.1	75573	77828	-	2256	9716	9716	10761	10761	12700	12700	18738	18738	14522	14522	11695	11695	10353	10353	12272	12272	10830	10830	10934	10934	8730	8730	10985	10985
cds-XP_719021.1	NC_032089.1	78008	78367	-	360	2887	2887	3009	3009	3658	3658	5165	5165	3867	3867	3665	3665	2781	2781	3467	3467	3068	3068	3683	3683	1935	1935	3586	3586
cds-XP_719020.1	NC_032089.1	78641	79669	-	1029	5124	5124	5271	5271	6343	6343	9330	9330	6602	6602	5686	5686	4594	4594	5696	5696	5030	5030	6349	6349	4158	4158	5978	5978
cds-XP_719019.1	NC_032089.1	80124	81053	+	930	2188	2188	2265	2265	2538	2538	3993	3993	2757	2757	2475	2475	1847	1847	2319	2319	2026	2026	2932	2932	2001	2001	2632	2632
cds-XP_719018.1	NC_032089.1	81233	81901	+	669	912	912	1002	1002	1191	1191	1512	1512	1109	1109	914	914	904	904	1002	1002	956	956	1017	1017	942	942	956	956
cds-XP_719017.1	NC_032089.1	82117	84558	-	2442	874	874	1043	1043	463	463	478	478	630	630	752	752	617	617	864	864	602	602	795	795	611	611	683	683
cds-XP_719016.2	NC_032089.1	85080	87248	-	2169	4102	4102	4402	4402	4105	4105	4818	4818	4002	4002	3455	3455	3257	3257	4065	4065	3306	3306	4031	4031	3244	3244	3722	3722
cds-XP_719015.2	NC_032089.1	87900	89810	+	1911	1722	1722	1774	1774	2012	2012	1829	1829	1568	1568	1463	1463	1324	1324	1556	1556	1424	1424	1726	1726	1378	1378	1744	1744
cds-XP_719014.1	NC_032089.1	90099	91271	+	1173	3486	3486	4012	4012	4103	4103	5049	5049	4033	4033	3313	3313	3237	3237	3955	3955	3423	3423	4024	4024	3235	3235	3977	3977
cds-XP_719011.2	NC_032089.1	91310	93694	-	2385	2794	2794	2957	2957	3188	3188	3565	3565	2908	2908	2234	2234	2192	2192	2669	2669	2316	2316	2591	2591	2266	2266	2643	2643
cds-XP_719010.1	NC_032089.1	93970	94899	+	930	464	464	527	527	497	497	849	849	627	627	559	559	391	391	588	588	522	522	449	449	410	410	489	489
cds-XP_719009.1	NC_032089.1	95214	96494	+	1281	37059	37059	37583	37583	36730	36730	34200	34200	37661	37661	45348	45348	33772	33772	41995	41995	36334	36334	37231	37231	23798	23798	33641	33641
cds-XP_719008.2	NC_032089.1	96816	101423	+	4608	5456	5456	6258	6258	5963	5963	7157	7157	6384	6384	5252	5252	4763	4763	5872	5872	4954	4954	5577	5577	4488	4488	5240	5240
cds-XP_719007.1	NC_032089.1	101751	103523	+	1773	6804	6804	7147	7147	7346	7346	3972	3972	7716	7716	7049	7049	5712	5712	7567	7567	5442	5442	8327	8327	5929	5929	7805	7805
cds-XP_719006.1	NC_032089.1	103868	104809	+	942	2245	2245	2229	2229	2494	2494	2315	2315	2327	2327	2064	2064	1596	1596	2055	2055	1903	1903	2357	2357	1755	1755	2297	2297
cds-XP_719005.1	NC_032089.1	105179	106924	+	1746	311	311	390	390	275	275	281	281	405	405	341	341	380	380	482	482	334	334	338	338	300	300	250	250
cds-XP_719003.2	NC_032089.1	107125	111027	-	3903	22409	22409	25618	25618	22475	22475	28018	28018	24705	24705	22711	22711	21895	21895	24888	24888	21366	21366	21740	21740	18200	18200	20789	20789
cds-XP_719002.1	NC_032089.1	111571	112251	-	681	2574	2574	2824	2824	3484	3484	5037	5037	4080	4080	3770	3770	3026	3026	3499	3499	3768	3768	2771	2771	2414	2414	2889	2889
cds-XP_719001.1	NC_032089.1	112788	113801	-	1014	2459	2459	2848	2848	2767	2767	3335	3335	2512	2512	2325	2325	1903	1903	2507	2507	2320	2320	2560	2560	2011	2011	2498	2498
cds-XP_719000.1	NC_032089.1	114127	115878	-	1752	950	950	1057	1057	1073	1073	903	903	897	897	724	724	621	621	765	765	700	700	1064	1064	708	708	953	953
cds-XP_718999.1	NC_032089.1	117319	119442	+	2124	350	350	374	374	359	359	805	805	635	635	640	640	478	478	707	707	503	503	344	344	307	307	339	339
cds-XP_718998.2	NC_032089.1	119767	122808	+	3042	1616	1616	1730	1730	1576	1576	2185	2185	1637	1637	1800	1800	1504	1504	1558	1558	1644	1644	1624	1624	1594	1594	1581	1581
cds-XP_718997.1	NC_032089.1	123066	123431	+	366	1926	1926	2154	2154	2054	2054	3008	3008	2389	2389	2200	2200	1954	1954	2497	2497	2076	2076	2132	2132	1831	1831	1865	1865
cds-XP_019330603.1	NC_032089.1;NC_032089.1;NC_032089.1	123869;125335;125586	125170;125370;125597	-;-;-	1350	22026	22026	24504	24504	22942	22942	33011	33011	25611	25611	21442	21442	21595	21595	25310	25310	19485	19485	24792	24792	18480	18480	23380	23380
cds-XP_718995.2	NC_032089.1	126791	128620	-	1830	3384	3384	3861	3861	2471	2471	1916	1916	2387	2387	2400	2400	2126	2126	3057	3057	1856	1856	3359	3359	2415	2415	2647	2647
cds-XP_718994.2	NC_032089.1	129260	130681	-	1422	3690	3690	4237	4237	2512	2512	3033	3033	2681	2681	2681	2681	2878	2878	3483	3483	2148	2148	3962	3962	3460	3460	3049	3049
cds-XP_718993.2	NC_032089.1	131413	133938	-	2526	3119	3119	3586	3586	3186	3186	3197	3197	3104	3104	2981	2981	2447	2447	3129	3129	2679	2679	2903	2903	2796	2796	2921	2921
cds-XP_718992.1	NC_032089.1	134254	134913	+	660	355	355	454	454	362	362	1295	1295	1069	1069	1000	1000	854	854	1151	1151	967	967	354	354	322	322	361	361
cds-XP_718991.1	NC_032089.1	135654	136436	-	783	1858	1858	1855	1855	1954	1954	2864	2864	2187	2187	1651	1651	1732	1732	2133	2133	1573	1573	1997	1997	1808	1808	2016	2016
cds-XP_718990.2	NC_032089.1	138574	140931	-	2358	296	296	287	287	229	229	302	302	220	220	288	288	229	229	276	276	296	296	253	253	261	261	268	268
cds-XP_718989.2	NC_032089.1	150607	151707	+	1101	458	458	540	540	454	454	736	736	665	665	469	469	378	378	507	507	482	482	547	547	566	566	478	478
cds-XP_718988.2	NC_032089.1	154633	155286	-	654	1966	1966	1863	1863	2468	2468	8477	8477	5894	5894	3406	3406	3029	3029	3322	3322	2058	2058	4171	4171	3767	3767	4015	4015
cds-XP_718987.2	NC_032089.1	155443	156324	+	882	396	396	322	322	493	493	1402	1402	892	892	867	867	536	536	597	597	566	566	684	684	657	657	732	732
cds-XP_718986.1	NC_032089.1	156643	157689	+	1047	257	257	287	287	295	295	308	308	249	249	262	262	212	212	230	230	203	203	306	306	316	316	291	291
cds-XP_718985.2	NC_032089.1	158725	160524	+	1800	280	280	236	236	201	201	243	243	497	497	536	536	572	572	568	568	178	178	317	317	236	236	314	314
cds-XP_718984.2	NC_032089.1	160942	162672	-	1731	5050	5050	5571	5571	3919	3919	3195	3195	3272	3272	2735	2735	2869	2869	4299	4299	2420	2420	4548	4548	3803	3803	3670	3670
cds-XP_718983.1	NC_032089.1	167077	167823	+	747	289	289	339	339	298	298	371	371	349	349	264	264	276	276	374	374	240	240	275	275	292	292	350	350
cds-XP_718982.1	NC_032089.1	168533	169534	+	1002	244	244	318	318	277	277	388	388	290	290	269	269	246	246	327	327	228	228	285	285	305	305	273	273
cds-XP_718980.2	NC_032089.1	170158	172254	+	2097	3042	3042	3466	3466	3848	3848	5810	5810	4629	4629	3709	3709	3476	3476	4071	4071	3639	3639	3319	3319	3277	3277	3401	3401
cds-XP_718979.2	NC_032089.1	174459	176084	+	1626	614	614	718	718	559	559	704	704	520	520	434	434	372	372	470	470	427	427	587	587	559	559	535	535
cds-XP_718978.1	NC_032089.1	176325	178475	+	2151	1132	1132	1185	1185	1184	1184	2295	2295	1628	1628	1604	1604	1334	1334	1545	1545	1714	1714	1111	1111	1100	1100	974	974
cds-XP_718976.1	NC_032089.1	178690	179307	+	618	2632	2632	2809	2809	3132	3132	5280	5280	3604	3604	2853	2853	2873	2873	3363	3363	2642	2642	3054	3054	2772	2772	2961	2961
cds-XP_019330604.1	NC_032089.1;NC_032089.1;NC_032089.1;NC_032089.1	179823;179946;180129;180645	179870;180041;180558;180829	+;+;+;+	759	575	575	660	660	695	695	925	925	545	545	464	464	472	472	620	620	549	549	625	625	567	567	607	607
cds-XP_718974.1	NC_032089.1	181403	185239	+	3837	3128	3128	3685	3685	3490	3490	4263	4263	3297	3297	2963	2963	3054	3054	3429	3429	2935	2935	3248	3248	2801	2801	3112	3112
cds-XP_019330605.1	NC_032089.1;NC_032089.1;NC_032089.1;NC_032089.1;NC_032089.1	185507;189350;189779;189965;190087	189170;189693;189900;190011;190145	-;-;-;-;-	4236	20225	20225	23278	23278	19984	19984	18892	18892	18570	18570	17695	17695	15737	15737	20116	20116	17041	17041	19814	19814	15756	15756	18442	18442
cds-XP_019330606.1	NC_032089.1;NC_032089.1	190698;190835	190750;191156	+;+	375	1481	1481	1552	1552	1627	1627	3188	3188	2274	2274	1955	1955	1692	1692	2063	2063	1962	1962	1616	1616	1494	1494	1642	1642
cds-XP_718972.1	NC_032089.1	191444	193405	-	1962	13406	13406	15895	15895	13059	13059	13077	13077	10960	10960	9767	9767	9922	9922	12197	12197	9662	9662	13745	13745	10520	10520	13113	13113
cds-XP_718971.1	NC_032089.1	194676	197798	-	3123	3474	3474	4016	4016	4274	4274	6657	6657	4920	4920	3885	3885	3693	3693	4058	4058	3848	3848	3300	3300	3448	3448	3369	3369
cds-XP_019330607.1	NC_032089.1;NC_032089.1	198221;198352	198284;198746	+;+	459	291	291	299	299	280	280	509	509	322	322	304	304	264	264	322	322	337	337	278	278	234	234	258	258
cds-XP_019330608.1	NC_032089.1	198951	199220	+	270	1288	1288	1252	1252	1545	1545	2528	2528	1602	1602	1813	1813	1377	1377	1531	1531	1673	1673	1311	1311	1047	1047	1447	1447
cds-XP_718111.2	NC_032089.1	199316	202249	-	2934	9350	9350	10264	10264	11023	11023	13442	13442	13911	13911	11284	11284	11608	11608	12847	12847	9597	9597	9990	9990	8085	8085	10188	10188
cds-XP_718112.1	NC_032089.1	202532	203623	-	1092	1696	1696	1838	1838	1806	1806	1548	1548	1552	1552	1368	1368	1269	1269	1538	1538	1523	1523	1787	1787	1440	1440	1663	1663
cds-XP_718113.2	NC_032089.1	203945	204415	+	471	5232	5232	5912	5912	4907	4907	6992	6992	6853	6853	6898	6898	5166	5166	6847	6847	6269	6269	5444	5444	3994	3994	4706	4706
cds-XP_718114.1	NC_032089.1	205265	206284	+	1020	6213	6213	6938	6938	5847	5847	7223	7223	7094	7094	6635	6635	6551	6551	7809	7809	5568	5568	7498	7498	5699	5699	6632	6632
cds-XP_718115.1	NC_032089.1	206477	206920	+	444	1541	1541	1597	1597	1647	1647	1979	1979	1557	1557	1694	1694	1009	1009	1348	1348	1505	1505	1708	1708	1181	1181	1808	1808
cds-XP_718116.1	NC_032089.1	206917	207855	-	939	5403	5403	5891	5891	5598	5598	6361	6361	4875	4875	4148	4148	3992	3992	4911	4911	3797	3797	6117	6117	4532	4532	5467	5467
cds-XP_718117.1	NC_032089.1	208285	208740	+	456	10818	10818	11728	11728	13284	13284	25719	25719	18710	18710	17872	17872	13361	13361	16446	16446	17406	17406	12288	12288	7657	7657	12096	12096
cds-XP_718118.2	NC_032089.1	209078	210502	-	1425	1349	1349	1470	1470	1528	1528	2204	2204	1998	1998	1478	1478	1471	1471	1649	1649	1601	1601	1400	1400	1304	1304	1440	1440
cds-XP_718119.1	NC_032089.1	210872	212377	+	1506	1070	1070	1088	1088	1053	1053	1388	1388	1267	1267	936	936	928	928	1125	1125	1077	1077	969	969	783	783	886	886
cds-XP_718120.1	NC_032089.1	212439	212747	-	309	1766	1766	1782	1782	1911	1911	2808	2808	1965	1965	1966	1966	1625	1625	1956	1956	2085	2085	1792	1792	1660	1660	1766	1766
cds-XP_718121.1	NC_032089.1	213635	220399	+	6765	8811	8811	9856	9856	9060	9060	10745	10745	9108	9108	8442	8442	7836	7836	8925	8925	8148	8148	9302	9302	7742	7742	8571	8571
cds-XP_718123.1	NC_032089.1	220539	222068	-	1530	11806	11806	12829	12829	12393	12393	16924	16924	13629	13629	11748	11748	10640	10640	13469	13469	11354	11354	12295	12295	9852	9852	11703	11703
cds-XP_718124.1	NC_032089.1	224667	226874	+	2208	1779	1779	2058	2058	1473	1473	3486	3486	3360	3360	4067	4067	2582	2582	3048	3048	3609	3609	1737	1737	1287	1287	1406	1406
cds-XP_718125.1	NC_032089.1	227677	229779	-	2103	1631	1631	1702	1702	1420	1420	2754	2754	2779	2779	3849	3849	2085	2085	2894	2894	3805	3805	1487	1487	1256	1256	1491	1491
cds-XP_718126.1	NC_032089.1	232865	234934	-	2070	3249	3249	3313	3313	3437	3437	5906	5906	4177	4177	3663	3663	3605	3605	4057	4057	3433	3433	3345	3345	2631	2631	3318	3318
cds-XP_718127.2	NC_032089.1	235077	235889	-	813	4624	4624	4896	4896	5549	5549	3302	3302	2541	2541	1847	1847	1709	1709	2170	2170	1832	1832	4916	4916	4461	4461	4709	4709
cds-XP_718128.2	NC_032089.1	236084	238300	-	2217	2983	2983	3034	3034	3071	3071	4479	4479	3542	3542	3073	3073	2975	2975	3708	3708	2765	2765	2902	2902	2375	2375	2852	2852
cds-XP_718129.1	NC_032089.1	239091	240914	-	1824	128	128	127	127	98	98	235	235	154	154	155	155	172	172	215	215	151	151	138	138	90	90	86	86
cds-XP_718130.1	NC_032089.1	241113	242504	-	1392	1342	1342	1486	1486	1541	1541	2096	2096	1604	1604	1819	1819	1152	1152	1578	1578	1694	1694	1644	1644	1160	1160	1434	1434
cds-XP_718131.1	NC_032089.1	242741	244663	+	1923	1389	1389	1498	1498	1400	1400	2201	2201	1693	1693	1939	1939	1454	1454	1701	1701	1938	1938	1411	1411	1150	1150	1325	1325
cds-XP_718132.1	NC_032089.1	245206	246453	+	1248	600	600	689	689	316	316	482	482	460	460	568	568	522	522	800	800	421	421	521	521	408	408	416	416
cds-XP_718133.1	NC_032089.1	246661	247413	-	753	76	76	73	73	41	41	59	59	50	50	37	37	50	50	63	63	86	86	74	74	47	47	43	43
cds-XP_718134.1	NC_032089.1	248816	249865	+	1050	232	232	221	221	194	194	377	377	405	405	322	322	287	287	344	344	272	272	221	221	163	163	207	207
cds-XP_718135.2	NC_032089.1	250103	251977	+	1875	5359	5359	5656	5656	5822	5822	8191	8191	5930	5930	6972	6972	5125	5125	6187	6187	6310	6310	5451	5451	4514	4514	5172	5172
cds-XP_718137.1	NC_032089.1	252036	252488	-	453	363	363	426	426	429	429	625	625	491	491	498	498	355	355	469	469	477	477	327	327	359	359	351	351
cds-XP_718138.2	NC_032089.1	253158	254441	+	1284	1216	1216	1287	1287	1231	1231	1636	1636	1275	1275	1387	1387	977	977	1350	1350	1509	1509	1347	1347	1016	1016	1086	1086
cds-XP_718140.2	NC_032089.1	254618	254965	-	348	145	145	187	187	178	178	287	287	201	201	222	222	195	195	213	213	184	184	173	173	180	180	160	160
