From	Entry	Gene Names (primary)
XP_710495.2	A0A1D8PP94	VID27
XP_715387.2	Q5A119	VID21
XP_713230.2	A0A1D8PSE5	VHT1
XP_718626.2	A0A1D8PRT2	VHR1
XP_711893.1	Q59QB4	VCX1
XP_710060.2	A0A1D8PHR0	VAS1
XP_019330890.1	A0A1D8PKT1	VAN1
XP_722609.2	A0A1D8PGN0	VAM6
XP_723091.2	A0A1D8PK25	VAM3
XP_710992.1	Q59MN0	VAC8
XP_711537.1	Q59PA6	VAC7
XP_722543.1	Q5AM80	UTR4
XP_721748.1	Q5AJC0	UTR2
XP_719810.1	Q5ADY1	UTP9
XP_717808.2	A0A1D8PIX3	UTP8
XP_719361.2	A0A1D8PU59	UTP5
XP_721710.2	A0A1D8PJD3	UTP4
XP_711078.2	Q59MU1	UTP25
XP_722611.2	A0A1D8PGM4	UTP22
XP_722608.2	A0A1D8PGP2	UTP21
XP_710441.2	A0A1D8PJ54	UTP20
XP_715203.1	A0A1D8PRJ5	UTP18
XP_714453.1	Q59Y40	UTP15
XP_720576.2	A0A1D8PNG5	UTP13
XP_715016.1	Q59ZX6	UTP10
XP_714673.1	A0A1D8PK69	USO6
XP_720001.2	A0A1D8PJR1	USO5
XP_710120.2	A0A1D8PMA2	USO1
XP_713904.2	Q59WK2	URM1
XP_723080.1	Q5ANN6	URK1
XP_710606.1	Q96WL3	URE2
XP_723522.1	Q874I4	URA9
XP_721850.1	Q5AK79	URA7
XP_710403.1	Q59KZ3	URA6
XP_718222.1	A0A1D8PS11	URA5
XP_715739.1	Q5A1L8	URA4
XP_721787.2	P13649	URA3
XP_712650.2	A0A1D8PTD1	URA2
XP_711879.1	Q59QC7	UPC2
XP_716089.2	A0A1D8PKH5	UNG1
XP_720495.2	A0A1D8PLL3	UME7
XP_710873.2	Q59MD2	UME6
XP_715234.1	A0A1D8PRH3	UME1
XP_717813.2	A0A1D8PIW0	ULP3
XP_715130.1	A0A1D8PSK4	ULP2
XP_720048.1	Q5AEB5	ULP1
XP_019331084.1	Q59KI0	UGP1
XP_715361.2	A0A1D8PGQ6	UGA6
XP_718500.1	A0A1D8PDL9	UGA4
XP_716451.2	A0A1D8PTY5	UGA33
XP_719000.1	Q5ABD2	UGA32
XP_719332.1	A0A1D8PU36	UGA3
XP_712968.1	Q59T88	UGA2
XP_720978.1	Q5AHE2	UGA11
XP_720927.2	A0A1D8PH55	UGA1
XP_715190.1	A0A1D8PRK4	UFE1
XP_722717.1	A0A1D8PL98	UEC1
XP_720448.2	A0A1D8PLP8	UBR1
XP_714412.2	A0A1D8PIP6	UBP8
XP_019330601.1	A0A1D8PC77	UBP6
XP_719475.2	A0A1D8PG89	UBP13
XP_716608.1	A0A1D8PKC4	UBP1
XP_719867.1	Q5ADS0	UBI4
XP_715397.1	Q5A109	UBI3
XP_716262.1	Q5A339	UBC9
XP_712965.1	Q59T91	UBC8
XP_716463.1	A0A1D8PTY7	UBC7
XP_019331121.1	A0A1D8PU40	UBC4
XP_019331041.1	O74201	UBC2
XP_717140.1	Q5A5R2	UBC15
XP_710134.2	Q5A513	UBC13
XP_713929.1	Q59WH7	UBA4
XP_717612.2	A0A1D8PE77	UBA2
XP_716099.1	A0A1D8PKJ3	UBA1
XP_720573.2	A0A1D8PNG6	UAP1
XP_720447.1	Q5AFB3	TYS1
XP_722677.1	Q5AMP2	TYR1
XP_722152.1	Q5AL36	TYE7
XP_723547.2	Q5APA2	TVP23
XP_723531.1	Q5APC0	TVP18
XP_712230.2	A0A1D8PDA9	TUS1
XP_719068.2	P0CY34	TUP1
XP_719009.1	Q5ABC3	TUF1
XP_019330934.1	A0A1D8PMD4	TUB4
XP_019330603.1	A0A1D8PC97	TUB2
XP_019331113.1	A0A1D8PTV4	TUB1
XP_719021.1	Q5ABB1	TTR1
XP_715343.2	A0A1D8PGR1	TSR3
XP_721496.1	Q5AI56	TSR2
XP_716255.1	Q5A346	TSR1
XP_712410.2	A0A1D8PQF6	TSM1
XP_711446.2	A0A1D8PMB6	TSC2
XP_718116.1	A0A1D8PCD8	TSC13
XP_713087.2	A0A1D8PTJ4	TSC11
XP_019330878.1	P0CU34	TSA1B
XP_716082.1	Q9Y7F0	TSA1
XP_719917.1	Q5ADL8	TRY6
XP_716741.2	Q5A4K7	TRY5
XP_723186.1	Q5ANC8	TRY4
XP_715733.2	Q5A1M4	TRY3
XP_710731.2	Q59LX5	TRY2
XP_715738.1	Q5A1L9	TRX2
XP_719372.1	A0A1D8PU69	TRX1
XP_721335.1	Q5AH42	TRS33
XP_718137.1	Q5A920	TRS20
XP_720598.1	Q5AG89	TRR1
XP_715859.1	A0A1D8PDN3	TRP99
XP_710312.1	A0A1D8PMH6	TRP5
XP_715408.1	A0A1D8PMR2	TRP4
XP_716312.2	A0A1D8PFC8	TRP3
XP_019331058.1	A0A1D8PS03	TRP2
XP_719055.1	P43073	TRP1
XP_716218.1	Q5A386	TRM9
XP_721318.2	Q5AH60	TRM82
XP_717203.2	Q5A692	TRM8
XP_716426.1	Q5A416	TRM61
XP_717363.1	Q5A6Q4	TRM6
XP_709946.2	Q59TN1	TRM5
XP_718150.2	A0A1D8PCG3	TRM2
XP_716610.1	A0A1D8PKC5	TRM12
XP_711832.1	Q59Q39	TRM10
XP_717955.1	Q5A863	TRM1
XP_714227.2	A0A1D8PTL7	TRK1
XP_019330604.1	A0A1D8PCC6	TRI1
XP_716758.2	A0A1D8PPL1	TRA1
XP_717804.1	Q5A7N4	TPT1
XP_019330821.1	A0A1D8PIS4	TPS3
XP_721536.1	Q5AI14	TPS2
XP_711706.1	Q92410	TPS1
XP_710602.2	A0A1D8PH79	TPO5
XP_717336.2	A0A1D8PSL9	TPO4
XP_723424.2	A0A1D8PEG8	TPO3
XP_715197.2	A0A1D8PRK9	TPO2
XP_019331107.1	A0A1D8PTR7	TPM2
XP_714866.2	A0A1D8PHU1	TPK2
XP_723574.1	Q5AP71	TPK1
XP_719842.1	Q9P940	TPI1
XP_719905.1	Q5ADN1	TPD3
XP_711835.1	Q59Q36	TPC1
XP_713801.2	A0A1D8PF67	TOS4
XP_721765.2	A0A1D8PJA8	TOS1
XP_714879.2	A0A1D8PHX3	TOR1
XP_715530.2	A0A1D8PMM1	TOP2
XP_714305.1	A0A1D8PPI2	TOP1
XP_710749.1	Q59LZ5	TOM70
XP_019331033.1	A0A1D8PQY9	TOM7
XP_721727.2	A0A1D8PJC1	TOM6
XP_721362.1	Q5AH14	TOM40
XP_710745.1	Q59LZ9	TOM22
XP_721452.1	Q5AIA0	TOM20
XP_715318.2	A0A1D8PGT3	TOM1
XP_712629.2	A0A1D8PL65	TOK1
XP_722697.1	Q5AMM1	TOA2
XP_720640.2	A0A1D8PNL8	TNA1
XP_714908.1	P12461	TMP1
XP_717958.1	Q5A860	TMA19
XP_710330.1	Q59KS8	TLO9
XP_710947.1	A0A1D8PKY5	TLO8
XP_717838.2	A0A1D8PIT9	TLO7
XP_710489.2	A0A1D8PFZ1	TLO5
XP_019330733.1	A0A1D8PFZ0	TLO4
XP_710010.2	A0A1D8PDT5	TLO34
XP_715178.1	A0A1D8PRM3	TLO16
XP_710505.2	A0A1D8PPA9	TLO13
XP_710528.1	A0A1D8PMU7	TLO11
XP_715384.2	A0A1D8PMT1	TLO10
XP_718698.1	A0A1D8PRK6	TLO1
XP_722582.2	A0A1D8PGJ1	TLG2
XP_717648.1	Q5A750	TKL1
XP_721846.2	A0A1D8PNZ9	TIP41
XP_721911.2	A0A1D8PP62	TIP20
XP_719828.2	Q5ADW3	TIP120
XP_721860.1	Q5AK69	TIP1
XP_019331040.1	Q59R24	TIM9
XP_710939.2	Q59MI8	TIM8
XP_716966.2	P48990	TIM54
XP_713813.1	Q59W44	TIM50
XP_717816.1	Q5A7M2	TIM44
XP_714535.1	Q59YG5	TIM23
XP_710236.2	A0A1D8PI78	TIM22
XP_713785.1	Q59VW7	TIM21
XP_710601.1	Q59LI2	TIM17
XP_720504.2	Q5AF54	TIM13
XP_722692.1	Q5AMM6	TIM12
XP_019330911.1	A0A1D8PLH1	TIM10
XP_710434.1	Q59L13	TIF6
XP_720569.2	A0A1D8PNF5	TIF5
XP_714443.1	A0A1D8PI73	TIF4631
XP_719387.1	Q9P975	TIF45
XP_715036.1	Q59ZV5	TIF35
XP_721466.1	Q5AI86	TIF34
XP_712942.1	Q59TB4	TIF33
XP_716731.2	A0A1D8PPQ1	TIF3
XP_717154.1	Q5A5P8	TIF11
XP_718147.1	P87206	TIF1
XP_710514.1	A0A1D8PMV9	THS1
XP_720543.2	A0A1D8PNG9	THR4
XP_716762.2	Q92209	THR1
XP_719975.1	Q5AEJ1	THI6
XP_723197.1	Q5ANB7	THI4
XP_721010.2	A0A1D8PH02	THI20
XP_716458.1	Q5A3Y5	THI13
XP_720355.1	A0A1D8PQL3	THG1
XP_722188.2	A0A1D8PFN1	TGL99
XP_715736.1	Q5A1M1	TFS1
XP_019330831.1	Q5AJB1	TFP1
XP_722657.1	Q5AMR1	TFG1
XP_719972.2	A0A1D8PJI4	TFC4
XP_019330670.1	P0C0X3	TFB5
XP_019330952.1	A0A1D8PN00	TFB3
XP_723537.1	Q5APB4	TFA1
XP_710923.1	Q59MF3	TES15
XP_710925.1	Q59MF1	TES1
XP_717626.2	A0A1D8PEA0	TERT
XP_710748.1	Q59LZ6	TEP1
XP_717945.1	Q5A873	TEN1
XP_019330622.1	A0A1D8PCX9	TEM1
XP_719142.2	Q5ABX0	TEL1
XP_712034.1	Q59QS1	TEF4
XP_717655.2	Q59QD6	TEF2
XP_710148.2	P0CY35	TEF1
XP_723122.1	Q5ANJ4	TEC1
XP_714691.1	A0A1D8PK74	TEA1
XP_711715.1	P43072	TDS4
XP_719909.1	Q5ADM7	TDH3
XP_711889.1	Q59QB7	TCP1
XP_713571.2	A0A1D8PDD8	TCO89
XP_719833.2	A0A1D8PKT0	TCC1
XP_019330623.1	A0A1D8PCX0	TCB3
XP_019330690.1	A0A1D8PEY6	TCB1
XP_715544.2	A0A1D8PMJ9	TCA17
XP_710721.1	O43133	TBP1
XP_720925.2	Q5AHJ5	TBF1
XP_714267.2	A0A1D8PIG7	TAZ1
XP_019331110.1	A0A1D8PTT5	TAR1
XP_722698.2	A0A1D8PLD8	TAP42
XP_715147.1	Q5A017	TAL1
XP_719489.2	Q5AD27	TAH18
XP_716115.1	A0A1D8PKJ2	TAF60
XP_713142.2	Q59U67	TAF4
XP_716996.2	A0A1D8PR78	TAF19
XP_718784.2	A0A1D8PE08	TAF145
XP_019330769.1	A0A1D8PH31	TAF14
XP_717334.2	A0A1D8PSN1	TAF12L
XP_719913.1	Q5ADM2	TAF12
XP_717933.1	Q5A886	TAF10
XP_714605.2	A0A1D8PN96	TAC1
XP_713243.2	A0A1D8PSD4	SYS3
XP_715179.1	A0A1D8PRK2	SYS1
XP_713244.2	A0A1D8PSE4	SYN8
XP_711828.1	Q59Q43	SYM1
XP_713578.2	A0A1D8PDF2	SYG1
XP_715188.1	A0A1D8PRK3	SYF2
XP_715549.2	A0A1D8PMK6	SYF1
XP_713128.2	Q59U81	SWR1
XP_723412.2	A0A1D8PED2	SWI6
XP_019330613.1	A0A1D8PCM9	SWI4
XP_713338.1	Q59UR3	SWI1
XP_717957.1	Q5A861	SWF1
XP_723552.2	Q5AP97	SWE1
XP_712497.1	A0A1D8PPT7	SWD3
XP_711732.1	Q59PV3	SWD2
XP_717763.1	Q5A7S8	SWD1
XP_718107.2	Q5A8H7	SWC5
XP_718649.1	Q5AAJ7	SWC4
XP_719030.1	Q5ABA2	SVF1
XP_712944.2	Q59TB2	SUV3
XP_720647.2	A0A1D8PNM7	SUT1
XP_719891.1	Q5ADP6	SUS1
XP_716723.1	Q5A4M8	SUR7
XP_715359.1	Q5A0J3	SUR2
XP_714552.1	Q59YE8	SUP35
XP_711315.2	Q59NP5	SUN41
XP_720488.2	A0A1D8PLL2	SUL2
XP_715210.1	A0A1D8PRJ6	SUI3
XP_718803.1	Q5AAU7	SUI2
XP_710661.1	Q59LQ6	SUI1
XP_716453.1	P33181	SUC1
XP_019330896.1	A0A1D8PKZ3	SUB2
XP_710164.1	A0A1D8PT00	SUA72
XP_721557.1	Q5AHZ3	SUA71
XP_712308.1	A0A1D8PPB0	STV1
XP_711309.2	A0A1D8PTZ8	STU2
XP_713879.1	Q59WD5	STU1
XP_710433.2	A0A1D8PTE0	STT4
XP_722527.1	Q5ALU8	STT3
XP_723535.1	Q5APB6	STS1
XP_713638.1	A0A1D8PD47	STR2
XP_721028.2	Q5AH87	STP4
XP_723130.1	Q5ANI6	STP3
XP_722171.1	Q5AL16	STP2
XP_714473.2	A0A1D8PI83	STN1
XP_019330868.1	A0A1D8PK71	STM1
XP_714608.2	A0A1D8PN90	STI1
XP_719938.2	A0A1D8PJG4	STH1
XP_019330735.1	A0A1D8PG09	STF2
XP_721713.2	A0A1D8PJE4	STE50
XP_720923.2	A0A1D8PH43	STE4
XP_718511.1	Q5A9Z4	STE3
XP_019330898.1	A0A1D8PL01	STE24
XP_719124.2	A0A1D8PQ06	STE23
XP_711769.2	A0A1D8PTB4	STE2
XP_019331031.1	A0A1D8PQX7	STE18
XP_710806.1	Q59M48	STE13
XP_720968.2	A0A1D8PGY4	STE11
XP_710929.1	A0A1D8PKV5	STD1
XP_718131.1	Q5A926	STB5
XP_712588.1	Q59SE2	STB3
XP_717217.1	Q5A678	SSZ1
XP_716260.1	Q5A341	SSY5
XP_720938.2	A0A1D8PH27	SSY1
XP_713235.1	Q59UG2	SSU72
XP_716447.1	Q5A3Z6	SSU1
XP_720533.2	A0A1D8PNF8	SST2
XP_720324.1	Q5AFN8	SSR1
XP_715228.1	A0A1D8PRH1	SSQ1
XP_716968.1	A0A1D8PR96	SSP96
XP_714550.1	Q59YF0	SSO2
XP_716596.1	Q5A4H9	SSN8
XP_719894.1	Q5ADP3	SSN6
XP_720918.2	Q5AHK2	SSN3
XP_722501.1	Q5ALX5	SSN2
XP_717180.2	A0A1D8PM87	SSK2
XP_722233.1	Q5AKU6	SSK1
XP_019330651.1	A0A1D8PDL0	SSH1
XP_711291.2	A0A1D8PU19	SSF1
XP_721868.2	Q5AK62	SSD1
XP_713153.1	P83784	SSC1
XP_716208.1	Q5A397	SSB1
XP_713669.2	P46587	SSA2
XP_717368.1	Q5A6P9	SRV2
XP_019330708.1	A0A1D8PFD1	SRT1
XP_710798.2	Q59M56	SRR1
XP_717934.1	Q5A885	SRP54
XP_715790.1	A0A1D8PSB9	SRP40
XP_721861.1	A0A1D8PP06	SRP101
XP_712320.1	Q59RK1	SRO77
XP_720555.2	A0A1D8PNE5	SRG1
XP_722556.2	A0A1D8PGG7	SRD1
XP_717173.2	A0A1D8PM80	SRB8
XP_719310.1	Q5ACU4	SRB7
XP_718140.2	Q5A917	SRB6
XP_714262.1	Q59X40	SRB5
XP_019330629.1	Q5AHZ7	SRB4
XP_713233.1	Q59UG4	SQS1
XP_720619.2	A0A1D8PNJ5	SPT8
XP_719334.1	A0A1D8PU33	SPT7
XP_715187.1	Q3MNT0	SPT6
XP_722503.1	Q5ALX3	SPT5
XP_721856.1	Q5AK73	SPT4
XP_719383.1	A0A1D8PU74	SPT3
XP_714397.1	A0A1D8PIM6	SPT23
XP_715857.2	Q5A2B9	SPT20
XP_717350.1	Q5A6R7	SPT14
XP_712651.2	A0A1D8PTE9	SPT10
XP_712611.1	Q59SL5	SPS20
XP_722568.2	A0A1D8PGH0	SPR3
XP_019330965.1	A0A1D8PNG4	SPR28
XP_714828.2	A0A1D8PHV3	SPR1
XP_721516.1	Q5AI35	SPP1
XP_709952.1	Q59TM5	SPO75
XP_714289.2	Q59X11	SPO72
XP_712814.1	Q59T32	SPO7
XP_019330664.1	A0A1D8PDX4	SPO22
XP_714436.2	A0A1D8PID6	SPO11
XP_019330958.1	A0A1D8PN71	SPO1
XP_711837.1	Q59Q34	SPF1
XP_714840.1	Q59Z50	SPE3
XP_714200.2	A0A1D8PMZ8	SPE2
XP_718994.2	P78599	SPE1
XP_718265.2	A0A1D8PS42	SPC98
XP_711781.1	Q59PZ2	SPC97
XP_721419.1	Q5AGV5	SPC72
XP_717193.2	A0A1D8PM85	SPC34
XP_722141.1	Q5AL47	SPC3
XP_711694.1	Q59PT6	SPC25
XP_722533.2	Q5ALU2	SPC24
XP_712635.1	Q59SJ1	SPC2
XP_711967.2	Q59QH6	SPC19
XP_711358.2	Q59N29	SPB4
XP_710224.1	Q59KF3	SPB1
XP_711580.2	A0A1D8PFH4	SPA2
XP_715553.2	P87218	SOU2
XP_715552.1	P87219	SOU1
XP_711777.1	Q59PZ6	SOL3
XP_712731.1	Q59ST9	SOL1
XP_715885.2	A0A1D8PT45	SOK1
XP_711556.1	Q59P87	SOH1
XP_713892.1	Q59WC1	SOG2
XP_717779.1	Q5A7Q9	SOF1
XP_719554.2	Q5ACV9	SOD6
XP_719507.1	Q5AD07	SOD5
XP_719509.1	Q5AD05	SOD4
XP_019331017.1	A0A1D8PQH5	SOD3
XP_718163.1	Q5A8Z4	SOD2
XP_019330913.1	A0A1D8PLJ3	SOD1
XP_721446.1	Q5AIA6	SNZ1
XP_719444.2	Q5AD73	SNX41
XP_719440.2	Q5AD77	SNX4
XP_717650.2	Q5A748	SNX3
XP_722539.2	Q5AM84	SNU71
XP_720632.2	A0A1D8PNL9	SNU66
XP_723101.1	Q5ANL6	SNU13
XP_710595.2	A0A1D8PH71	SNU114
XP_716310.2	A0A1D8PFD3	SNT1
XP_718095.2	A0A1D8PQ95	SNQ2
XP_019331079.1	A0A1D8PSP7	SNP3
XP_019330779.1	A0A1D8PHF1	SNP1
XP_721447.1	A0A1D8PCS7	SNO1
XP_715691.2	A0A1D8PN53	SNM1
XP_711215.1	Q59NB3	SNL1
XP_711672.2	A0A1D8PRC1	SNG4
XP_711673.2	A0A1D8PRD3	SNG3
XP_719002.1	Q5ABD0	SNF7
XP_720955.2	A0A1D8PH05	SNF6
XP_710105.2	A0A1D8PJZ6	SNF5
XP_718103.2	A0A1D8PQA6	SNF4
XP_722570.2	A0A1D8PGK4	SNF2
XP_714855.2	A0A1D8PHT4	SNF12
XP_715699.1	A0A1D8PN61	SNF1
XP_019331098.1	A0A1D8PTG5	SMX4
XP_019330764.1	A0A1D8PH20	SMX2
XP_713803.1	Q59W54	SMT3
XP_715333.2	Q5A0L9	SMP3
XP_722512.1	Q5ALW4	SMP2
XP_714536.2	A0A1D8PIL3	SMM1
XP_714678.1	A0A1D8PK79	SMI1B
XP_717596.2	A0A1D8PE53	SMI1
XP_719516.1	Q5ACZ8	SMF3
XP_722225.2	A0A1D8PFT1	SMF13
XP_714860.2	A0A1D8PHV2	SMF12
XP_722757.1	A0A1D8PLB0	SMF11
XP_019330986.1	A0A1D8PPC8	SME1
XP_711350.1	Q59NQ6	SMD3
XP_019330788.1	A0A1D8PHP3	SMD2
XP_719431.1	A0A1D8PUC1	SMD1
XP_721404.1	Q5AGX1	SMC6
XP_713250.1	Q59UE8	SMC5
XP_716802.1	Q5A4Y2	SMC4
XP_719960.2	A0A1D8PJK7	SMC3
XP_714465.2	A0A1D8PI59	SMC2
XP_715143.2	A0A1D8PSI8	SMC1
XP_019331099.1	A0A1D8PTI0	SMB1
XP_711251.2	A0A1D8PPF3	SLY41
XP_720490.2	Q5AFV3	SLX4
XP_719919.1	Q5ADL4	SLU7
XP_717166.1	Q5A5N5	SLT11
XP_019330817.1	A0A1D8PIP0	SLR1
XP_716431.1	A0A1D8PTU3	SLP3
XP_714250.1	A0A1D8PIA6	SLP2
XP_717946.1	Q5A872	SLN1
XP_710843.2	A0A1D8PPT0	SLM2
XP_719859.1	Q5ADT0	SLK19
XP_719918.1	Q5ADL6	SLF1
XP_719391.1	A0A1D8PU96	SLD5
XP_713222.1	Q59UH5	SLD2
XP_719958.2	Q5AEK8	SLD1
XP_719949.1	Q5AEL8	SLC1
XP_715249.1	A0A1D8PRF5	SLA2
XP_722523.1	Q5ALV2	SLA1
